College Name,College Link,Stream,City,Ownership,Course,Duration,Facilities
"Krishna Foundation's Jaywant Institute of Pharmacy, Wathar",https://www.careers360.com/colleges/krishna-foundations-jaywant-institute-of-pharmacy-wathar,Pharmacy,Satara,Private,B.Pharma,4 Years,"Boys Hostel, Girls Hostel"
"LNBCIOP Raigaon - Late Narayandas Bhawandas Chhabada Institute Of Pharmacy, Raigaon",https://www.careers360.com/colleges/late-narayandas-bhawandas-chhabada-institute-of-pharmacy-raigaon,Pharmacy,Satara,Private,B.Pharma,4 Years,"Boys Hostel, Girls Hostel"
"Mandesh Institute of Pharmaceutical Science and Research, Satara",https://www.careers360.com/colleges/mandesh-institute-of-pharmaceutical-science-and-research-satara,Pharmacy,Satara,Private,D.Pharma,2 Years,"Boys Hostel, Girls Hostel"
"Mandesh Institute of Pharmaceutical Science and Research, Satara",https://www.careers360.com/colleges/mandesh-institute-of-pharmaceutical-science-and-research-satara,Pharmacy,Satara,Private,B.Pharma,4 Years,"Boys Hostel, Girls Hostel"
"Meruling Shikshan Sansthas College of Pharmacy, Medha",https://www.careers360.com/colleges/meruling-shikshan-sansthas-college-of-pharmacy-medha,Pharmacy,Satara,Private,B.Pharma,4 Years,N/A
"Meruling Shikshan Sansthas College of Pharmacy, Medha",https://www.careers360.com/colleges/meruling-shikshan-sansthas-college-of-pharmacy-medha,Pharmacy,Satara,Private,D.Pharma,2 Years,N/A
"Shree Santkrupa College of Pharmacy, Karad",https://www.careers360.com/colleges/shree-santkrupa-college-of-pharmacy-karad,Pharmacy,Satara,Private,No relevant courses found,N/A,N/A
"Yashoda Technical Campus, Satara",https://www.careers360.com/colleges/yashoda-technical-campus-satara,Pharmacy,Satara,Private,B.Tech Computer Science and Engineering,4 Years,"Boys Hostel, Girls Hostel"
"Yashoda Technical Campus, Satara",https://www.careers360.com/colleges/yashoda-technical-campus-satara,Pharmacy,Satara,Private,B.Tech Artificial Intelligence and Data Science,4 Years,"Boys Hostel, Girls Hostel"
"Yashoda Technical Campus, Satara",https://www.careers360.com/colleges/yashoda-technical-campus-satara,Pharmacy,Satara,Private,B.Tech Electronics and Telecommunication Engineering,4 Years,"Boys Hostel, Girls Hostel"
"Yashoda Technical Campus, Satara",https://www.careers360.com/colleges/yashoda-technical-campus-satara,Pharmacy,Satara,Private,B.Pharma,4 Years,"Boys Hostel, Girls Hostel"
"Yashoda Technical Campus, Satara",https://www.careers360.com/colleges/yashoda-technical-campus-satara,Pharmacy,Satara,Private,Diploma in Computer Engineering,3 Years,"Boys Hostel, Girls Hostel"
"Yashoda Technical Campus, Satara",https://www.careers360.com/colleges/yashoda-technical-campus-satara,Pharmacy,Satara,Private,B.Tech Robotics and Artificial Intelligence,4 Years,"Boys Hostel, Girls Hostel"
"Yashoda Technical Campus, Satara",https://www.careers360.com/colleges/yashoda-technical-campus-satara,Pharmacy,Satara,Private,Diploma in Civil Engineering,3 Years,"Boys Hostel, Girls Hostel"
"Yashoda Technical Campus, Satara",https://www.careers360.com/colleges/yashoda-technical-campus-satara,Pharmacy,Satara,Private,Diploma in Information Technology,3 Years,"Boys Hostel, Girls Hostel"
"Yashoda Technical Campus, Satara",https://www.careers360.com/colleges/yashoda-technical-campus-satara,Pharmacy,Satara,Private,Diploma in Electrical Engineering,3 Years,"Boys Hostel, Girls Hostel"
"Yashoda Technical Campus, Satara",https://www.careers360.com/colleges/yashoda-technical-campus-satara,Pharmacy,Satara,Private,MBA,2 Years,"Boys Hostel, Girls Hostel"
"Yashoda Technical Campus, Satara",https://www.careers360.com/colleges/yashoda-technical-campus-satara,Pharmacy,Satara,Private,Diploma in Artificial Intelligence and Machine Learning,3 Years,"Boys Hostel, Girls Hostel"
"Yashoda Technical Campus, Satara",https://www.careers360.com/colleges/yashoda-technical-campus-satara,Pharmacy,Satara,Private,B.Tech Cyber Security,4 Years,"Boys Hostel, Girls Hostel"
"Yashoda Technical Campus, Satara",https://www.careers360.com/colleges/yashoda-technical-campus-satara,Pharmacy,Satara,Private,B.Tech Mechatronics Engineering,4 Years,"Boys Hostel, Girls Hostel"
"Yashoda Technical Campus, Satara",https://www.careers360.com/colleges/yashoda-technical-campus-satara,Pharmacy,Satara,Private,D.Pharma,2 Years,"Boys Hostel, Girls Hostel"
"Yashoda Technical Campus, Satara",https://www.careers360.com/colleges/yashoda-technical-campus-satara,Pharmacy,Satara,Private,BBA,3 Years,"Boys Hostel, Girls Hostel"
"Yashoda Technical Campus, Satara",https://www.careers360.com/colleges/yashoda-technical-campus-satara,Pharmacy,Satara,Private,Diploma in Mechanical Engineering,3 Years,"Boys Hostel, Girls Hostel"
"Yashoda Technical Campus, Satara",https://www.careers360.com/colleges/yashoda-technical-campus-satara,Pharmacy,Satara,Private,B.Tech Mechanical Engineering,4 Years,"Boys Hostel, Girls Hostel"
"Yashoda Technical Campus, Satara",https://www.careers360.com/colleges/yashoda-technical-campus-satara,Pharmacy,Satara,Private,B.Tech Civil Engineering,4 Years,"Boys Hostel, Girls Hostel"
"AAEMF's Delight College of Pharmacy, Pune",https://www.careers360.com/colleges/aaemfs-delight-college-of-pharmacy-pune,Pharmacy,Satara,Private,D.Pharma,2 Years,"Boys Hostel, Girls Hostel"
"AAEMF's Delight College of Pharmacy, Pune",https://www.careers360.com/colleges/aaemfs-delight-college-of-pharmacy-pune,Pharmacy,Satara,Private,B.Pharma,4 Years,"Boys Hostel, Girls Hostel"
"AAEMF'S Delight Institute of Pharmacy, Pune",https://www.careers360.com/colleges/aaemfs-delight-institute-of-pharmacy-pune,Pharmacy,Satara,Private,D.Pharma,2 Years,"Boys Hostel, Girls Hostel"
"AAEMF'S Delight Institute of Pharmacy, Pune",https://www.careers360.com/colleges/aaemfs-delight-institute-of-pharmacy-pune,Pharmacy,Satara,Private,B.Pharma,4 Years,"Boys Hostel, Girls Hostel"
